model_name,n,mass,sigma,type,success,plot_file,T_cdm_within_10%,T_b_within_10%,T_tot_within_10%,v_cdm_within_10%,v_b_within_10%
n2_m1e-4_halfmode,2,1e-4 GeV,4.2e-28,halfmode,True,species_comparison_n2_m1e-4_halfmode.png,97.5,97.4,97.4,97.8,98.3
n2_m1e-4_halfmode_s1.19e-27,2,1e-4 GeV,1.19e-27,halfmode,True,species_comparison_n2_m1e-4_halfmode_s1.19e-27.png,88.1,87.9,87.9,87.7,87.8
n2_m1e-4_halfmode_s2.8e-27,2,1e-4 GeV,2.8e-27,halfmode,True,species_comparison_n2_m1e-4_halfmode_s2.8e-27.png,85.9,86.1,86.2,85.8,85.9
n2_m0.01_halfmode_s1.3e-25,2,0.01 GeV,1.3e-25,halfmode,True,species_comparison_n2_m0.01_halfmode_s1.3e-25.png,95.5,95.5,95.5,95.5,95.5
n2_m0.01_halfmode_s1.36e-24,2,0.01 GeV,1.36e-24,halfmode,True,species_comparison_n2_m0.01_halfmode_s1.36e-24.png,85.5,84.8,84.8,84.7,84.7
n2_m1_halfmode_s1.6e-23,2,1 GeV,1.6e-23,halfmode,True,species_comparison_n2_m1_halfmode_s1.6e-23.png,99.3,99.5,99.4,99.3,99.6
n2_m1_halfmode_s8e-22,2,1 GeV,8e-22,halfmode,True,species_comparison_n2_m1_halfmode_s8e-22.png,79.3,79.2,79.1,79.3,79.3
n2_m1_halfmode_s1.38e-22,2,1 GeV,1.38e-22,halfmode,True,species_comparison_n2_m1_halfmode_s1.38e-22.png,84.1,83.8,83.8,83.8,83.8
n2_m1e-4_envelope_s2.8e-27,2,1e-4 GeV,2.8e-27,envelope,True,species_comparison_n2_m1e-4_envelope_s2.8e-27.png,95.4,95.0,94.9,94.2,94.6
n2_m0.01_envelope_s1.36e-24,2,0.01 GeV,1.36e-24,envelope,True,species_comparison_n2_m0.01_envelope_s1.36e-24.png,80.9,80.6,80.6,80.8,80.8
n2_m0.01_envelope_s1.7e-24,2,0.01 GeV,1.36e-24,envelope,True,species_comparison_n2_m0.01_envelope_s1.7e-24.png,80.9,80.6,80.6,80.8,80.8
n2_m1_envelope_s1.38e-22,2,1 GeV,1.38e-22,envelope,True,species_comparison_n2_m1_envelope_s1.38e-22.png,80.9,80.7,80.7,80.6,80.6
n2_m1_envelope_s8e-22,2,1 GeV,8e-22,envelope,True,species_comparison_n2_m1_envelope_s8e-22.png,93.9,93.0,92.8,91.4,91.5
n4_m1e-4_halfmode_s2.2e-27,4,1e-4 GeV,2.2e-27,halfmode,True,species_comparison_n4_m1e-4_halfmode_s2.2e-27.png,97.8,97.3,97.4,91.3,91.3
n4_m1e-4_halfmode_s3.4e-26,4,1e-4 GeV,3.4e-26,halfmode,True,species_comparison_n4_m1e-4_halfmode_s3.4e-26.png,86.6,86.5,86.5,86.5,86.6
n4_m1e-4_halfmode_s9.91e-27,4,1e-4 GeV,9.91e-27,halfmode,True,species_comparison_n4_m1e-4_halfmode_s9.91e-27.png,88.7,88.9,88.9,88.6,88.6
n4_m0.01_halfmode_s1.7e-19,4,0.01 GeV,1.7e-19,halfmode,True,species_comparison_n4_m0.01_halfmode_s1.7e-19.png,90.5,89.6,89.4,81.5,81.5
n4_m0.01_halfmode_s1.7e-22,4,0.01 GeV,1.7e-22,halfmode,True,species_comparison_n4_m0.01_halfmode_s1.7e-22.png,78.9,79.7,79.7,79.3,79.3
n4_m0.01_halfmode_s9.83e-21,4,0.01 GeV,9.83e-21,halfmode,True,species_comparison_n4_m0.01_halfmode_s9.83e-21.png,79.6,79.6,79.6,78.9,78.9
n4_m1e-4_envelope_s9.91e-27,4,1e-4 GeV,9.91e-27,envelope,True,species_comparison_n4_m1e-4_envelope_s9.91e-27.png,88.2,88.4,88.3,88.3,88.3
n4_m0.01_envelope_s9.83e-21,4,0.01 GeV,9.83e-21,envelope,True,species_comparison_n4_m0.01_envelope_s9.83e-21.png,79.6,79.6,79.6,78.9,78.9
n4_m1_envelope_s2.09e-17,4,1 GeV,2.09e-17,envelope,True,species_comparison_n4_m1_envelope_s2.09e-17.png,80.8,80.6,80.6,80.6,80.6
n4_m1_envelope_s2.8e-16,4,1 GeV,2.8e-16,envelope,True,species_comparison_n4_m1_envelope_s2.8e-16.png,93.2,92.5,92.7,84.6,84.6
n4_m1_envelope_s8.6e-19,4,1 GeV,8.6e-19,envelope,True,species_comparison_n4_m1_envelope_s8.6e-19.png,80.1,80.0,80.0,80.0,80.0
